resort_key,reviewer_name,review_text,rating,date,pros,cons,scraped_at
mt-buller,Bob,"Bob Lifties are great especially max,Hamish and dale working at bonza",,,,,2025-08-31T14:39:39.989134
mt-buller,Bob,Bob Lifties are the best especially Hamish dale and max at bonza chair,,,,,2025-08-31T14:39:39.989136
mt-buller,Caline,There is barely any snow and the snow there is artificial,,,,,2025-08-31T14:39:39.989141
mt-buller,Ali,"Drive up to the mountain can be difficult However, kids still loved to make snowmen .",,,,,2025-08-31T14:39:39.989154
mt-buller,Anonymous,Anonymous Person - Nice terrain & facilities Too expensive,,,,,2025-08-31T14:39:39.989167
falls-creek-alpine-resort,Beginner,Beginner Intermediate Expert All Terrain Family Friendly Apres Ski Terrain Park Overall Value,,,,,2025-08-31T14:39:39.989173
falls-creek-alpine-resort,Reviews,"A ski resort's overall star rating displayed here is not calculated based on a simple average but takes several factors, including the age of a review, into account.",3.2,,,,2025-08-31T14:39:39.989180
falls-creek-alpine-resort,Franc,"Franc Falls has to be the best family resort in Oz - it offers a snow club for the 3-6 year olds so whether they've never seen snow or have got their snow legs they have a great place to get to know the mountain The ski school also runs the Falls Creek Race Club with their top instructors providing expert tuition Once your rid of the kids, you have the whole mountain to explore - easy riders down the Wombats Ramble through to advanced skiing in The Maze or off piste on Mt Mackay",,,,,2025-08-31T14:39:39.989183
falls-creek-alpine-resort,Christine,"Christine Falls Creek has a great village atmosphere and when the snow is good the skiing is terrific, but when the snow is bad, it's horrid I would like to see more activities planned for those days when the snow is bad, like an indoor games venue with a huge water slide For the fitness freeks perhaps a gymn to keep up their fitness level for when the snow is good",,,,,2025-08-31T14:39:39.989186
falls-creek-alpine-resort,Chris,Chris Hedge Been to Falls 3 years in a row now because its great for our familiy All standards of skiers get plenty to be happy about and our 2 kids (now 14 & 16) have gone from intermediate skiers to beginner boarders to intermediate boarders at Falls and they have always been happy The lift staff and the instructors all have an excellent customer service ethic (without ever becoming obsequious),,,,,2025-08-31T14:39:39.989188
falls-creek-alpine-resort,Falls,"Falls Creek is a great Australian resort, with a cosy little village that is spectacular with fresh snow and it is all ski-in ski-out when there's snow on the roads the terrain mix is great with really good beginner and intermediate stuff but also Australia's most innovative nadp opular terrain park on Ruined Castle, plus when the Maze and Summit have good snow the advanced skiing is great too The village, the terrain parks, the terrain and the skiing was good in Sept",,,,,2025-08-31T14:39:39.989192
falls-creek-alpine-resort,Note,"Queensland Skier I enjoyed my time at falls creek, i felt relaxed and clam I did get frustrated with the lifts, i've never been on any lift so slow The fasted lifts was the poma lifts",,,,,2025-08-31T14:39:39.989203
mt-hotham,Beginner,Beginner Intermediate Expert All Terrain Family Friendly Apres Ski Terrain Park Overall Value,,,,,2025-08-31T14:39:39.989208
mt-hotham,Reviews,"A ski resort's overall star rating displayed here is not calculated based on a simple average but takes several factors, including the age of a review, into account.",3.1,,,,2025-08-31T14:39:39.989214
mt-hotham,Anonymous,"anonymous its a nice place, would recommend the terrain was good, on mountain accommodation lack of restaurants",,,,,2025-08-31T14:39:39.989217
mt-hotham,Peter,Peter Not good at all will never go back Everything over priced  so many negatives I wouldn't recommend this to anybody I would recommend any other alpine resorts Not really any pros Too expensive not friendly staff at all .,,,,,2025-08-31T14:39:39.989223
mt-hotham,Chris,"Chris Fuller The Car Park Price is now above $50 per day.....lift tickets well over $100 on a decent mountain but with limited powder day, heaps of fog,  and a poorly set up lift system (Funnels everyone into gullies....the Gotcha Chair The Hotham Lift Company doesn't get it",,,,,2025-08-31T14:39:39.989226
mt-hotham,Anonymous,"i went to mount hotham and loved it! night life is good with good pubs open every night, and night skiing/boarding with fireworks open every wednesday and saturday, but only on  one slope, but thats all you need",,,,,2025-08-31T14:39:39.989229
mt-hotham,Any,"Any one who has skiied at Hotham will tell you its the best resort in Australia, What better gift than waking up in the morning and looking out the window to see Mount Feathertop towering over the runs and lifts in the distance Mount Hotham is a one of a kind as the resort sits atop of all the runs and lift systems, only 2 lifts are higher than the village Hotham is for everyone it has alot of begginer runs, intermediate, advanced, expert and of piste runs",,,,,2025-08-31T14:39:39.989232
mt-baw-baw-alpine-resort,Beginner,Beginner Intermediate Expert All Terrain Family Friendly Apres Ski Terrain Park Overall Value,,,,,2025-08-31T14:39:39.989241
mt-baw-baw-alpine-resort,Reviews,"A ski resort's overall star rating displayed here is not calculated based on a simple average but takes several factors, including the age of a review, into account.",3.1,,,,2025-08-31T14:39:39.989249
mt-baw-baw-alpine-resort,Ash,"Ash Joshnson Mt Baw Baw is a really great, non-threatening and safe family mountain The snowsports team are great with kids and supporting adults to get into the sport and the price is affordable compared to the big ""Vail"" resorts Those who get into skiing or boarding seriously will outgrow the terrain at some point but for families and casuals you can't go wrong",,,,,2025-08-31T14:39:39.989252
mt-baw-baw-alpine-resort,Cohn,"Cohn O'Murhu Advertised discount lift tickets, got there & charged full price for 1 50m pomma run, with hardly any snow, literally boarding on dirt Mountain should have been closed, massive safety hazard!! Do yourself a favor, skip Mt Baw Baw & their lying on the conditions & head for Mt Buller or Falls or Hotham!!",,,,,2025-08-31T14:39:39.989258
mt-baw-baw-alpine-resort,Anonymous,"phil6354 I found this resort to be a great place for the family, both my kids had lessons and got the basics of skiing, we had an awsome day on the slopes, I liked the convenience of parking close to the village.",,,,,2025-08-31T14:39:39.989261
mt-baw-baw-alpine-resort,Jimmy,"Jimmy C 84 Just been up Mt Baw Baw today after the website claimed there was 12cm of new snow (the weekly snow fall being 54cm) and the conditions were excellent The snow patchy with 70-75% coverage at best A lot of runs had bare patches and thin covering of snow down to the grass, rocks and maybe a slushy stream (see attached pics) but oddly it was also ankle deep off the runs",,,,,2025-08-31T14:39:39.989263
mt-baw-baw-alpine-resort,Pam,"We went there for a change from our usual Mt Buller snow trip If you want to have fun on snow with value for your money, don't bother going to this place We went on 11/07/2015 & it was snowing",11.0,,,,2025-08-31T14:39:39.989266
charlotte-pass,Beginner,Beginner Intermediate Expert All Terrain Family Friendly Apres Ski Terrain Park Overall Value,,,,,2025-08-31T14:39:39.989276
charlotte-pass,Reviews,"A ski resort's overall star rating displayed here is not calculated based on a simple average but takes several factors, including the age of a review, into account.",3.0,,,,2025-08-31T14:39:39.989285
charlotte-pass,Xiao,Xiao Xu Only 1 T bar to advance trails was open on the windy day to avoid refund Not a lot people Not reliable lift and service subject to weather,,,,,2025-08-31T14:39:39.989288
charlotte-pass,Cameron,Cameron  Colquhoun The over snow just takes to long and isn’t really worth it in my opinion The over snows are so late that if you book for 3:00 pm you don’t leave till 6:00 pm They really need to fix there over snow Great for beginners but for everyone the over snows are way too late Not bad for the food and to get drinks sunscreen ect but a bit over priced,,,,,2025-08-31T14:39:39.989290
charlotte-pass,Dave,"Dave Well, I’ve been coming to Charlottes pass since 2013 with my family (wife and 2 daughters) it’s a great place, people here are awesome, we stay in a chalet for 7 days each time Over the last few trips, the skiing is becoming worse and worse Super expensive holiday, they charge full rates for lift tickets and the facility is unable to function even at a basic level",,,,,2025-08-31T14:39:39.989293
charlotte-pass,Anonymous,"howells_jonathan Fantastic for famalies with young kids, safe and great for beginners",,,,,2025-08-31T14:39:39.989295
charlotte-pass,Dung,Dung Nguyen We love everything there except for the magic carpet organisation Great for beginner Magic carpet,3.0,,,,2025-08-31T14:39:39.989297
selwyn-snowfields,Beginner,Beginner Intermediate Expert All Terrain Family Friendly Apres Ski Terrain Park Overall Value,,,,,2025-08-31T14:39:39.989301
selwyn-snowfields,Reviews,"A ski resort's overall star rating displayed here is not calculated based on a simple average but takes several factors, including the age of a review, into account.",3.4,,,,2025-08-31T14:39:39.989304
selwyn-snowfields,Snowlover,"Snowlover I just feel someone needs to give people wanting to head there a heads up They should be offering free days for beginners and families just to have fun and build some good will I live near by and have even skied there since the 1970's and it can be a lovely place, however times have changed and they should not be ripping of the families that go there as they are",,,,,2025-08-31T14:39:39.989306
selwyn-snowfields,Nari,"Nari Im We arrived at Selwyn Snow Resort at 9:00 AM, having pre-booked ski lessons and equipment hire for our three children, scheduled to begin at 10:45 AM This was our children’s first ski trip, and after a wonderful experience at Thredbo the previous day with efficient service and no delay, they were excited to get on the snow again It is completely unacceptable that a resort operating in peak season, and with full knowledge of its pre-booked guests and rental requirements, would be so grossly understaffed and unprepared",,,,,2025-08-31T14:39:39.989308
selwyn-snowfields,Jane,Selwyn has set up terms and conditions which mean under no circumstances will they provide a refund or future credit (even if there is no snow and no lifts operating) If you are lucky enough for 'favourable weather conditions' you can have a great time learning on the hill They boast being the cheapest while providing 2 runs at best,,,,,2025-08-31T14:39:39.989311
selwyn-snowfields,Kol,Kol vdWal Had an enjoyable day on the snow with the family Most staff were friendly but appeared to have issues with the fundamentals of English Unfortunately the one fluent English speaking staff member (brown haired female) was very rude to our children and attempted to make them share the chair lift with strangers,26.0,,,,2025-08-31T14:39:39.989313
selwyn-snowfields,Craig,"Craig I headed up to Selwyn at the start of August, I was pleased to find that the slopes were aimed for beginners as well as a couple of slopes for the more experienced What let selwyn down more than anything else was the lack of buildings and undercover areas, this may have been more obvious due to the fact that it rained the entire time that I was there (talk about bad timing) The park seemed to be aimed more at the young family, as there was an abundance of young families all enjoying the snow",,,,,2025-08-31T14:39:39.989315
